wo_plano_drive_1;wo_plano_drive_2;wo_plano_mean
-0,442;-0,463;-0,4525
-0,468;-0,684;-0,576
-0,59;-0,826;-0,708
-0,601;-0,928;-0,7645
-0,943;-1,049;-0,996
-1,025;-0,99;-1,0075
-1,006;-0,965;-0,9855
-0,961;-0,811;-0,886
-0,774;-0,917;-0,8455
-0,937;-0,928;-0,9325
-0,845;-0,984;-0,9145
-1,047;-1,317;-1,182
-1,488;-1,453;-1,4705
-1,683;-1,832;-1,7575
-1,972;-1,693;-1,8325
-1,611;-1,312;-1,4615
-1,252;-1,241;-1,2465
-1,306;-1,377;-1,3415
-1,395;-1,502;-1,4485
-1,878;-1,601;-1,7395
-1,596;-1,659;-1,6275
-1,652;-1,52;-1,586
-1,583;-1,246;-1,4145
-1,475;-0,944;-1,2095
-1,025;-0,957;-0,991
-1,067;-0,976;-1,0215
-1,226;-0,934;-1,08
-1,191;-0,936;-1,0635
-1,213;-1,024;-1,1185
-1,121;-1,063;-1,092
-1,132;-0,929;-1,0305
-0,766;-0,572;-0,669
-0,337;-0,437;-0,387
-0,501;-0,281;-0,391
-0,225;-0,392;-0,3085
-0,427;-0,514;-0,4705
-0,6;-0,654;-0,627
-0,358;-0,624;-0,491
-0,402;-0,586;-0,494
-0,18;-0,593;-0,3865
-0,226;-0,494;-0,36
-0,346;-0,504;-0,425
-0,432;-0,695;-0,5635
-0,835;-0,793;-0,814
-0,423;-0,806;-0,6145
-0,418;-0,623;-0,5205
-0,363;-0,638;-0,5005
-0,28;-0,698;-0,489
-0,259;-0,108;-0,1835
-0,058;0;-0,029
-0,324;-0,426;-0,375
-0,663;-0,667;-0,665
-0,764;-0,519;-0,6415
-0,602;-0,592;-0,597
-0,842;-0,744;-0,793
-0,841;-0,821;-0,831
-1,161;-1,075;-1,118
-1,245;-1,212;-1,2285
-1,571;-1,543;-1,557
-1,372;-1,877;-1,6245
-1,289;-1,879;-1,584
-1,567;-2,166;-1,8665
-1,437;-2,233;-1,835
-1,567;-2,017;-1,792
-1,372;-2,126;-1,749
-1,604;-2,248;-1,926
-2,074;-2,099;-2,0865
-2,09;-2,098;-2,094
-1,857;-2,013;-1,935
-1,689;-1,958;-1,8235
-1,305;-1,514;-1,4095
-1,166;-1,608;-1,387
-1,14;-1,853;-1,4965
-1,28;-1,991;-1,6355
-1,214;-1,697;-1,4555
-1,231;-1,688;-1,4595
-1,086;-1,598;-1,342
-1,22;-1,757;-1,4885
-1,391;-1,466;-1,4285
-1,555;-1,012;-1,2835
-1,441;-0,989;-1,215
-1,233;-0,449;-0,841
-0,951;-0,35;-0,6505
-0,577;-0,512;-0,5445
-0,731;-0,567;-0,649
-0,621;-0,84;-0,7305
-0,721;-0,617;-0,669
-0,663;-0,544;-0,6035
-0,814;-0,634;-0,724
-0,89;-0,734;-0,812
-1,172;-0,778;-0,975
-1,189;-0,786;-0,9875
-1,154;-0,809;-0,9815
-1,113;-0,671;-0,892
-1;-0,784;-0,892
-0,933;-0,614;-0,7735
-0,993;-0,684;-0,8385
-0,891;-0,551;-0,721
-0,816;-0,497;-0,6565
-0,8;-0,612;-0,706
-0,844;-0,447;-0,6455
-0,57;-0,437;-0,5035
-0,71;-0,383;-0,5465
-0,925;-0,493;-0,709
-0,976;-0,564;-0,77
-0,911;-0,466;-0,6885
-0,58;-0,576;-0,578
-0,723;-0,34;-0,5315
-0,477;-0,201;-0,339
-0,281;-0,142;-0,2115
-0,041;-0,148;-0,0945
-0,115;-0,024;-0,0695
-0,165;0;-0,0825
0;-0,029;-0,0145
0;-0,143;-0,0715
-0,252;-0,073;-0,1625
-0,195;0;-0,0975
-0,244;-0,088;-0,166
-0,006;-0,333;-0,1695
-0,019;-0,608;-0,3135
0;-0,282;-0,141
-0,13;-0,229;-0,1795
-0,078;0;-0,039
0;0;0
-0,117;-0,183;-0,15
-0,019;-0,35;-0,1845
-0,037;-0,502;-0,2695
0;-0,36;-0,18
-0,04;-0,553;-0,2965
-0,105;-0,322;-0,2135
-0,099;-0,407;-0,253
-0,054;-0,301;-0,1775
-0,147;-0,395;-0,271
-0,626;-0,549;-0,5875
-0,856;-0,084;-0,47
-0,647;-0,29;-0,4685
-0,614;-0,592;-0,603
-0,804;-0,494;-0,649
-0,918;-0,437;-0,6775
-0,827;-0,199;-0,513
-0,491;-0,472;-0,4815
-0,297;-0,261;-0,279
-0,328;-0,172;-0,25
-0,483;0;-0,2415
-0,121;-0,208;-0,1645
0;-0,386;-0,193
-0,09;-0,523;-0,3065
-0,164;-0,489;-0,3265
-0,293;0;-0,1465
0;-0,016;-0,008
-0,25;-0,31;-0,28
-0,385;-0,199;-0,292
-0,343;-0,278;-0,3105
-0,449;-0,106;-0,2775
-0,412;-0,065;-0,2385
-0,043;0;-0,0215
0;-0,179;-0,0895
-0,129;-0,166;-0,1475
-0,339;-0,095;-0,217
-0,404;-0,076;-0,24
-0,152;-0,161;-0,1565
-0,281;-0,078;-0,1795
-0,086;-0,005;-0,0455
0;-0,013;-0,0065
-0,16;-0,079;-0,1195
-0,355;-0,025;-0,19
0;-0,237;-0,1185
-0,051;-0,356;-0,2035
-0,427;-0,365;-0,396
-0,175;-0,168;-0,1715
-0,08;0;-0,04
-0,038;-0,181;-0,1095
-0,027;0;-0,0135
0;-0,112;-0,056
-0,016;-0,075;-0,0455
-0,043;0;-0,0215
-0,03;-0,091;-0,0605
-0,077;-0,31;-0,1935
-0,088;-0,407;-0,2475
-0,119;-0,271;-0,195
0;-0,696;-0,348
-0,344;-0,592;-0,468
-0,22;-0,828;-0,524
-0,341;-0,539;-0,44
-0,388;-0,489;-0,4385
-0,292;-0,225;-0,2585
0;-0,168;-0,084
-0,012;-0,173;-0,0925
0;-0,481;-0,2405
-0,244;-0,488;-0,366
-0,37;-0,554;-0,462
-0,407;-0,511;-0,459
0;-0,053;-0,0265
-0,127;0;-0,0635
-0,098;-0,161;-0,1295
-0,036;-0,264;-0,15
0;-0,49;-0,245
-0,172;-0,637;-0,4045
-0,338;-0,642;-0,49
-0,426;-0,666;-0,546
-0,57;-0,98;-0,775
-0,737;-1,228;-0,9825
-0,965;-1,373;-1,169
-1,112;-1,45;-1,281
-0,959;-1,275;-1,117
-1,07;-1,522;-1,296
-1,311;-1,83;-1,5705
-1,693;-1,868;-1,7805
-1,669;-1,785;-1,727
-1,896;-1,695;-1,7955
-1,96;-2,224;-2,092
-2,27;-2,123;-2,1965
-1,971;-1,658;-1,8145
-1,518;-1,042;-1,28
-1,089;-0,749;-0,919
-0,577;-0,754;-0,6655
-0,401;-0,683;-0,542
-0,398;-0,407;-0,4025
-0,482;-0,141;-0,3115
-0,251;-0,188;-0,2195
-0,261;-0,597;-0,429
-0,322;-0,647;-0,4845
-0,369;-0,651;-0,51
-0,407;-0,925;-0,666
-0,467;-1,213;-0,84
-0,796;-1,149;-0,9725
-0,975;-1,107;-1,041
-0,815;-0,76;-0,7875
-0,657;-0,767;-0,712
-0,502;-1,064;-0,783
-0,887;-0,954;-0,9205
-0,947;-1,235;-1,091
-1,164;-1,401;-1,2825
-1,405;-1,409;-1,407
-1,293;-1,331;-1,312
-1,067;-1,272;-1,1695
-0,992;-1,46;-1,226
-1,036;-1,509;-1,2725
-1,246;-1,757;-1,5015
-1,383;-1,551;-1,467
-0,852;-0,882;-0,867
-0,378;-0,269;-0,3235
-0,299;-0,156;-0,2275
-0,254;0;-0,127
-0,401;-0,29;-0,3455
-0,404;-0,854;-0,629
-0,791;-1,573;-1,182
-1,178;-1,541;-1,3595
-1,497;-1,275;-1,386
-1,604;-1,419;-1,5115
-1,537;-2,416;-1,9765
-2,142;-2,767;-2,4545
-2,597;-2,767;-2,682
-2,644;-2,706;-2,675
-2,763;-2,614;-2,6885
-2,568;-2,76;-2,664
-2,704;-3,087;-2,8955
-2,644;-3,144;-2,894
-2,747;-3,383;-3,065
-3,09;-3,048;-3,069
-2,731;-3,294;-3,0125
-2,759;-3,636;-3,1975
-3,06;-3,683;-3,3715
-3,062;-3,694;-3,378
-3,333;-3,179;-3,256
-2,843;-2,716;-2,7795
-2,377;-2,314;-2,3455
-2,132;-2,36;-2,246
-1,799;-2,442;-2,1205
-1,64;-2,166;-1,903
-1,476;-1,447;-1,4615
-0,996;-1,012;-1,004
-0,708;-1,079;-0,8935
-0,526;-1,079;-0,8025
-0,824;-1,139;-0,9815
-0,985;-0,972;-0,9785
-1,05;-1,037;-1,0435
-1,09;-1,498;-1,294
-1,294;-1,514;-1,404
-1,309;-1,236;-1,2725
-1,139;-0,496;-0,8175
-0,966;0;-0,483
-0,291;-0,169;-0,23
-0,449;-0,526;-0,4875
-0,544;-0,722;-0,633
-0,669;-0,68;-0,6745
-1,019;-0,689;-0,854
-1,067;-0,682;-0,8745
-1,436;-0,784;-1,11
-1,416;-0,829;-1,1225
-1,38;-1,116;-1,248
-1,287;-1,153;-1,22
-1,176;-1,01;-1,093
-1,174;-1,249;-1,2115
-1,014;-1,259;-1,1365
-0,974;-1,317;-1,1455
-1,236;-1,266;-1,251
-1,383;-1,217;-1,3
-1,433;-1,369;-1,401
-1,55;-1,481;-1,5155
-1,747;-1,199;-1,473
-1,577;-1,051;-1,314
-1,415;-0,805;-1,11
-1,051;-0,73;-0,8905
-1,049;-0,433;-0,741
-0,945;-0,627;-0,786
-0,701;-0,369;-0,535
-0,638;-0,219;-0,4285
-0,229;-0,118;-0,1735
-0,241;-0,207;-0,224
0;-0,126;-0,063
-0,028;-0,307;-0,1675
-0,146;-0,297;-0,2215
-0,231;0;-0,1155
-0,26;-0,045;-0,1525
-0,247;0;-0,1235
-0,154;0;-0,077
-0,211;-0,085;-0,148
-0,037;-0,007;-0,022
-0,162;-0,135;-0,1485
-0,316;-0,439;-0,3775
-0,986;-0,781;-0,8835
-1,325;-0,855;-1,09
-1,706;-0,944;-1,325
-1,764;-1,293;-1,5285
-1,845;-1,621;-1,733
-2,168;-2,652;-2,41
-2,613;-2,666;-2,6395
-2,018;-1,736;-1,877
-1,484;-1,767;-1,6255
-1,353;-1,236;-1,2945
-1,473;-0,586;-1,0295
-1,085;-0,452;-0,7685
-0,864;-0,338;-0,601
-0,724;-0,217;-0,4705
-0,436;-0,214;-0,325
-0,544;0;-0,272
-0,367;-0,119;-0,243
-0,417;-0,305;-0,361
-0,385;-0,459;-0,422
-0,234;-0,398;-0,316
-0,006;-0,12;-0,063
-0,06;-0,092;-0,076
0;-0,037;-0,0185
-0,071;-0,242;-0,1565
-0,099;-0,257;-0,178
0;0;0
-0,264;0;-0,132
-0,18;-0,128;-0,154
-0,202;0;-0,101
-0,169;-0,17;-0,1695
-0,195;-0,01;-0,1025
-0,132;-0,17;-0,151
-0,286;-0,314;-0,3
-0,698;-0,604;-0,651
-0,863;-0,674;-0,7685
-0,866;-0,824;-0,845
-0,713;-0,959;-0,836
-0,575;-1,07;-0,8225
-1,066;-1,104;-1,085
-1,141;-1,107;-1,124
-1,005;-0,857;-0,931
-0,915;-0,723;-0,819
-0,723;-0,873;-0,798
-0,821;-0,805;-0,813
-0,944;-0,94;-0,942
-1,445;-0,975;-1,21
-1,341;-0,909;-1,125
-1,178;-1,005;-1,0915
-0,971;-1,168;-1,0695
-0,921;-0,991;-0,956
-1,185;-0,88;-1,0325
-0,932;-0,727;-0,8295
-0,698;-0,484;-0,591
-0,252;-0,092;-0,172
-0,015;-0,031;-0,023
-0,1;-0,375;-0,2375
-0,527;-0,535;-0,531
-0,417;-0,286;-0,3515
-0,263;-0,289;-0,276
-0,317;-0,618;-0,4675
-0,419;-0,637;-0,528
-0,491;-0,769;-0,63
-0,759;-0,827;-0,793
-0,518;-0,703;-0,6105
-0,483;-0,616;-0,5495
-0,207;-0,62;-0,4135
-0,168;-0,627;-0,3975
-0,129;-0,362;-0,2455
0;-0,155;-0,0775
-0,167;0;-0,0835
-0,078;-0,083;-0,0805
-0,067;-0,217;-0,142
-0,013;-0,178;-0,0955
0;-0,274;-0,137
-0,22;-0,44;-0,33
-0,34;-0,32;-0,33
-0,721;-0,545;-0,633
-0,625;-0,739;-0,682
-0,714;-1,347;-1,0305
-0,869;-1,274;-1,0715
-1,051;-1,106;-1,0785
-0,948;-1,15;-1,049
-0,967;-1,155;-1,061
-1,407;-1,333;-1,37
-1,023;-1,436;-1,2295
